Block ID,Data Value,Name,S or C?,Notes,Renewable
103,0,Melon,Both,,TRUE
104,0,Pumpkin Stem,Neither,,FALSE
105,0,Melon Stem,Neither,,FALSE
107,0,Oak Fence Gate,Both,,TRUE
108,0,Brick Stairs,Both,,FALSE
109,0,Stone Brick Stairs,Both,,TRUE
112,0,Nether Bricks,Both,,FALSE
114,0,Nether Brick Stairs,Both,,FALSE
126,0,Cake,Neither,Cake again,FALSE
128,0,Sand Stone Stairs,Both,,FALSE
134,0,Spruce Stairs,Both,,TRUE
135,0,Birch Stairs,Both,,TRUE
136,0,Jungle Stairs,Creative,,FALSE
139,0,Cobblestone Wall,Both,,TRUE
141,0,Carrots,Neither,,FALSE
142,0,Potatoes,Neither,,FALSE
155,0,Block of Quartz,Both,,FALSE
155,1,Chiseled Block of Quartz,Both,,FALSE
155,2,Pillar Quartz Block,Both,,FALSE
156,0,Quartz Stairs,Creative,,FALSE
157,0,Double Oak Slab,Neither,,FALSE
158,0,Oak Wooden Slab,Both,,TRUE
158,1,Spruce Wooden Slab,Both,,TRUE
158,2,Birch Wooden Slab,Both,,TRUE
158,3,Jungle Wooden Slab,Creative,,FALSE
158,4,Wooden Slab,Neither,Crashes game when selected,FALSE
170,0,Hay Bale,Both,,TRUE
171,0,Carpet,Creative,White,FALSE
171,1,Carpet,Creative,Orange,FALSE
171,2,Carpet,Creative,Magenta,FALSE
171,3,Carpet,Creative,Light Blue,FALSE
171,4,Carpet,Creative,Yellow,FALSE
171,5,Carpet,Creative,Lime,FALSE
171,6,Carpet,Creative,Pink,FALSE
171,7,Carpet,Creative,Gray,FALSE
171,8,Carpet,Creative,Light Gray,FALSE
171,9,Carpet,Creative,Cyan,FALSE
171,10,Carpet,Creative,Purple,FALSE
171,11,Carpet,Creative,Blue,FALSE
171,12,Carpet,Creative,Brown,FALSE
171,13,Carpet,Creative,Green,FALSE
171,14,Carpet,Both,Red,TRUE
171,15,Carpet,Creative,Black,FALSE
173,0,Block of Coal,Both,,FALSE
244,0,Beetroots,Neither,,FALSE
245,0,Stonecutter,Both,,TRUE
246,0,Glowing Obsidian,Neither,,FALSE
247,0,Nether Reactor Core,Both,,FALSE
247,1,Nether Reactor Core,Neither,Initialized in inventory,FALSE
247,2,Nether Reactor Core,Neither,Finished in inventory,FALSE
248,0,Info Update,Neither,,FALSE
249,0,Info Update2,Neither,,FALSE
255,0,Reserved6,Neither,,FALSE
